Station,Date,Avg Temp (deg C),Vapor Pressure (Pa),Wind Speed (m/s),Net Radiation (W m-2)
ftc01,3/28/23,-3.93,251,0.806481481,275
ftc01,3/29/23,-0.37,412,1.157407407,251.04
ftc01,3/30/23,4.08,445,1.09375,230.32
ftc01,3/31/23,4.86,258,6.652777778,204.63
ftc01,4/1/23,6.81,305,1.34837963,253.24
ftc01,4/2/23,11.23,331,2.162037037,276.62
ftc01,4/3/23,4.36,494,2.456018519,186.11
ftc01,4/4/23,-4.73,360,2.114583333,179.98
ftc01,4/5/23,-3.03,295,1.393518519,266.67
ftc01,4/6/23,0.88,295,1.020833333,291.55
ftc01,4/7/23,7.5,326,1.236111111,293.06
ftc01,4/8/23,9.28,458,1.144675926,126.04
ftc01,4/9/23,10.19,457,1.365740741,267.25
ftc01,4/10/23,12.56,467,1.396990741,294.91
ftc01,4/11/23,15.44,431,1.306712963,304.98
ftc01,4/12/23,16.93,458,1.681712963,253.01
ftc01,4/13/23,15.29,515,1.428240741,151.74
ftc01,4/14/23,2.81,558,1.174768519,55.27
ftc01,4/15/23,2.2,420,1.871527778,246.64
ftc01,4/16/23,5.81,383,1.444444444,303.7
ftc01,4/17/23,11.21,399,1.016203704,263.77
ftc01,4/18/23,13.28,400,3.166666667,267.48
ftc01,4/19/23,6.46,441,3.148148148,169.21
ftc01,4/20/23,3.52,195,4.925925926,259.03
ftc01,4/21/23,3.09,303,1.864583333,159.72
ftc01,4/22/23,-1.06,455,1.450231481,146.41
ftc01,4/23/23,4.51,444,1.08912037,308.22
ftc01,4/24/23,9.85,471,1.423611111,293.06
ftc01,4/25/23,6.58,773,1.782407407,115.28
ftc01,4/26/23,8.08,790,1.561342593,257.75
ftc01,4/27/23,9.95,605,3.78125,253.12
ftc01,4/28/23,8.62,430,3.511574074,304.51
ftc01,4/29/23,14.07,555,1.724537037,274.31
ftc01,4/30/23,11.13,594,1.203703704,303.82
ftc01,5/1/23,11.85,517,1.099537037,307.75
ftc01,5/2/23,12.18,645,1.384259259,262.27
ftc01,5/3/23,16.33,610,1.081018519,293.63
ftc01,5/4/23,14.66,722,1.846064815,171.18
ftc01,5/5/23,12.09,686,1.607638889,191.32
ftc01,5/6/23,12.83,449,1.974537037,308.56
ftc01,5/7/23,12.64,607,1.125,222.69
ftc01,5/8/23,14.44,680,1.268518519,274.65
ftc01,5/9/23,15.75,867,1.72337963,297.69
ftc01,5/10/23,11.4,1139,1.103009259,87.89
ftc01,5/11/23,10.12,1117,2.010416667,54.56
ftc01,5/12/23,12.23,870,5.71875,224.88
ftc01,5/13/23,12.91,921,2.396990741,208.68
ftc01,5/14/23,10.73,1184,0.865162037,99.19
ftc01,5/15/23,10.57,1112,0.663078704,100.81
ftc01,5/16/23,15.52,918,1.615740741,236.23
ftc01,5/17/23,17.16,974,1.185185185,260.53
ftc01,5/18/23,12.26,1237,1.085648148,148.38
ftc01,5/19/23,11.28,1069,1.074074074,122.45
ftc01,5/20/23,13.81,1177,0.68287037,214.47
ftc01,5/21/23,17.07,845,1.314814815,330.44
ftc01,5/22/23,15.98,968,0.895833333,265.51
ftc01,5/23/23,16.8,1089,0.593865741,275.35
ftc01,5/24/23,15.56,1280,1.118055556,215.39
ftc01,5/25/23,16.3,1167,1.143518519,317.01
ftc01,5/26/23,15.45,1191,1.847222222,193.29
ftc01,5/27/23,14.68,1154,1.145833333,245.37
ftc01,5/28/23,15.59,1080,0.738194444,256.71
ftc01,5/29/23,16.66,1044,0.77974537,269.44
ftc01,5/30/23,17.32,991,1.450231481,287.73
ftc01,5/31/23,16.45,1055,1.680555556,254.05
ftc01,6/1/23,14.32,1236,0.810532407,215.39
ftc01,6/2/23,16.7,1135,0.443865741,265.16
ftc01,6/3/23,13.81,1294,0.348611111,153.7
ftc01,6/4/23,12.69,1377,0.587847222,66.2
ftc01,6/5/23,14.37,1370,1.178240741,200.12
ftc01,6/6/23,16.12,1291,0.75162037,310.07
ftc01,6/7/23,16.76,1208,0.838425926,222.34
ftc01,6/8/23,17.67,1201,0.731944444,281.83
ftc01,6/9/23,17.03,1203,0.799884259,249.77
ftc01,6/10/23,15.71,1158,0.939814815,218.75
ftc01,6/11/23,13.36,1268,0.945601852,150.35
ftc01,6/12/23,12.92,1313,0.773263889,108.56
ftc01,6/13/23,13.2,1210,0.594907407,160.53
ftc01,6/14/23,16.56,1168,1.240740741,309.38
ftc01,6/15/23,15.69,1298,0.890509259,186.92
ftc01,6/16/23,12.49,1318,0.366550926,99.88
ftc01,6/17/23,14.35,1201,0.623263889,278.12
ftc01,6/18/23,18.1,1133,0.90462963,294.21
ftc01,6/19/23,20.78,1187,1.170138889,349.65
ftc01,6/20/23,18.63,1235,0.539583333,259.03
ftc01,6/21/23,18.33,1522,0.836111111,239.12
ftc01,6/22/23,18.61,1538,1.579861111,231.94
ftc01,6/23/23,20,1535,0.889814815,239.35
ftc01,6/24/23,20.43,665,2.93287037,358.8
ftc01,6/25/23,17.78,1260,1.010416667,326.39
ftc01,6/26/23,19.99,1452,0.716435185,341.09
ftc01,6/27/23,22.89,1118,2.324074074,350.12
ftc01,6/28/23,21.02,1479,0.976851852,320.83
ftc01,6/29/23,19.91,1414,1.69212963,312.85
ftc01,6/30/23,14.52,1325,0.623726852,140.86
ftc01,7/1/23,18.8,1192,1.09837963,290.05
ftc01,7/2/23,21.76,1219,0.731944444,293.75
ftc01,7/3/23,21.07,1127,0.704976852,265.39
ftc01,7/4/23,18.23,1326,1.030092593,197.11
ftc01,7/5/23,12.95,1418,0.488541667,58.68
ftc01,7/6/23,16.17,1549,0.653009259,146.3
ftc01,7/7/23,16.31,1343,0.830902778,210.19
ftc01,7/8/23,17.19,1553,0.988425926,201.27
ftc01,7/9/23,18.58,1611,0.46724537,263.43
ftc01,7/10/23,22.59,1430,0.45787037,254.28
ftc01,7/11/23,24.43,1163,0.86099537,330.56
ftc01,7/12/23,24.71,1121,1.395833333,293.98
ftc01,7/13/23,23.35,1284,0.719444444,268.17
ftc01,7/14/23,20.16,1311,1.221064815,320.49
ftc01,7/15/23,19.85,1464,0.681597222,280.56
ftc01,7/16/23,22.04,1272,1.052083333,324.19
ftc01,7/17/23,24.77,1180,1.061342593,294.21
ftc01,7/18/23,26.15,1035,1.828703704,162.27
ftc01,7/19/23,22.61,1426,0.534606481,133.56
ftc01,7/20/23,18.02,1720,0.780324074,145.6
ftc01,7/21/23,18.43,1476,0.644328704,270.49
ftc01,7/22/23,21.67,1287,0.441087963,314.35
ftc01,7/23/23,23.73,1202,0.836111111,254.75
ftc01,7/24/23,25.08,1374,0.675694444,274.77
ftc01,7/25/23,26.22,1286,0.888541667,251.27
ftc01,7/26/23,22.88,1395,0.731944444,165.97
ftc01,7/27/23,22.35,1321,0.724421296,223.84
ftc01,7/28/23,21.73,1557,0.693634259,183.68
ftc01,7/29/23,20.44,1641,0.396412037,198.84
ftc01,7/30/23,23.94,1568,0.633680556,207.52
ftc01,7/31/23,22.89,1795,0.799768519,218.63
ftc01,8/1/23,20.58,1829,0.48275463,196.18
ftc01,8/2/23,21.56,1648,0.627199074,177.31
ftc01,8/3/23,18.71,1745,0.833564815,220.37
ftc01,8/4/23,21.36,1384,1.115740741,296.06
ftc01,8/5/23,19.26,1475,0.650462963,252.66
ftc01,8/6/23,16.51,1393,0.87962963,175.93
ftc01,8/7/23,17.02,1290,0.809953704,195.37
ftc01,8/8/23,17.72,1284,0.753472222,184.14
ftc01,8/9/23,19.91,1228,0.761574074,308.68
ftc01,8/10/23,20.66,1268,0.709375,251.04
ftc01,8/11/23,23.7,1083,1.438657407,262.96
ftc01,8/12/23,21.23,1382,0.622337963,174.88
ftc01,8/13/23,17.4,1154,0.972222222,131.48
ftc01,8/14/23,16.45,1003,0.60625,305.67
ftc01,8/15/23,20.65,1020,0.763078704,306.48
ftc01,8/16/23,24.95,1027,1.278935185,285.53
ftc01,8/17/23,22.73,1396,1.018518519,273.38
ftc01,8/18/23,23.63,1406,0.626273148,176.39
ftc01,8/19/23,23.27,1342,0.769328704,223.15
ftc01,8/20/23,21.34,1703,0.771296296,252.66
ftc01,8/21/23,23.67,1162,0.678819444,291.78
ftc01,8/22/23,24.46,1116,0.96875,266.32
ftc01,8/23/23,25.02,1198,1.357638889,234.14
ftc01,8/24/23,24.67,1392,1.809027778,221.99
ftc01,8/25/23,16.78,1589,1.149305556,32.37
ftc01,8/26/23,17.74,1601,1.019675926,176.27
ftc01,8/27/23,18.6,1569,0.945601852,189.35
ftc01,8/28/23,17.8,1474,0.78125,206.48
ftc01,8/29/23,18.42,1223,0.79224537,273.84
ftc01,8/30/23,20.29,1321,0.561921296,252.43
ftc01,8/31/23,22.6,1098,0.611111111,258.8
ftc01,9/1/23,24.04,1128,0.901736111,244.44
ftc01,9/2/23,24.53,1255,0.946759259,221.53
ftc01,9/3/23,21.07,1490,0.819560185,168.98
ftc01,9/4/23,20.07,1123,2.056712963,233.91
ftc01,9/5/23,18.05,971,1.543981481,243.75
ftc01,9/6/23,17.47,1038,0.709837963,258.68
ftc01,9/7/23,21.26,714,1.75462963,267.25
ftc01,9/8/23,19.17,874,0.643981481,254.63
ftc01,9/9/23,20.83,861,1.060185185,242.01
ftc01,9/10/23,14.08,1406,0.404282407,39.92
ftc01,9/11/23,14.7,1231,0.743518519,194.21
ftc01,9/12/23,14.95,1047,0.530092593,250.58
ftc01,9/13/23,15.78,942,0.903472222,241.67
ftc01,9/14/23,14.04,1152,1.008101852,114.24
ftc01,9/15/23,14.25,1085,0.407175926,163.89
ftc01,9/16/23,15.02,871,0.646180556,248.84
ftc01,9/17/23,17.38,856,0.670601852,240.51
ftc01,9/18/23,19.12,812,1.511574074,176.74
ftc01,9/19/23,17.44,886,1.40625,131.83
ftc01,9/20/23,15.21,917,0.849074074,145.14
ftc01,9/21/23,17.05,901,1.032407407,204.51
ftc01,9/22/23,18.16,929,1.804398148,223.84
ftc01,9/23/23,15.32,540,1.976851852,234.03
ftc01,9/24/23,14.43,531,0.694328704,233.91
ftc01,9/25/23,16.03,540,0.480208333,231.02
ftc01,9/26/23,16.62,699,0.873842593,225.12
ftc01,9/27/23,17.24,751,0.840856481,223.26
ftc01,9/28/23,18.67,717,1.165509259,222.57
ftc01,9/29/23,16.87,838,1.084490741,216.44
ftc01,9/30/23,17.17,876,0.741319444,170.83
ftc01,10/1/23,18.11,791,1.644675926,204.51
ftc01,10/2/23,15.8,967,1.387731481,158.22
ftc01,10/3/23,12.29,762,1.912037037,160.3
ftc01,10/4/23,12.31,673,1.193287037,172.11
ftc01,10/5/23,11.29,741,1.008101852,201.62
ftc01,10/6/23,8.23,707,1.219907407,121.76
ftc01,10/7/23,10.21,621,0.496180556,202.2
ftc01,10/8/23,14.08,585,0.481365741,200.58
ftc01,10/9/23,14.74,579,0.84837963,194.68
ftc01,10/10/23,15.7,489,0.664351852,159.49
ftc01,10/11/23,12.26,775,0.916435185,94.44
ftc01,10/12/23,8.34,676,3.378472222,88.98
ftc01,10/13/23,6.77,461,3.613425926,179.98
ftc01,10/14/23,3.78,510,0.667708333,155.44
ftc01,10/15/23,8.88,562,0.879282407,184.49
ftc01,10/16/23,11.16,599,0.598148148,182.41
ftc01,10/17/23,16.51,550,1.300925926,171.99
ftc01,10/18/23,13.27,613,1.320601852,163.66
ftc01,10/19/23,13.87,590,0.720833333,179.63
ftc01,10/20/23,14.93,494,0.680439815,180.56
ftc01,10/21/23,15.47,527,0.765972222,170.72
ftc01,10/22/23,11.62,654,0.719328704,158.68
ftc01,10/23/23,13.8,566,0.433912037,168.06
ftc01,10/24/23,9.71,685,0.47974537,134.84
ftc01,10/25/23,8.69,827,0.613194444,160.88
ftc01,10/26/23,4.58,782,1.013888889,31.49
ftc01,10/27/23,-1.99,397,0.97337963,80.59
ftc01,10/28/23,-4.11,383,0.604976852,18.02
ftc01,10/29/23,-5.39,302,0.893518519,87.06
ftc01,10/30/23,-3.44,261,0.435763889,157.87
ftc01,10/31/23,0.06,358,0.877546296,154.86
ftc01,11/1/23,5.14,439,0.635532407,137.04
ftc01,11/2/23,9.47,437,1.168981481,141.78
ftc01,11/3/23,12.54,534,1.076388889,142.13
ftc01,11/4/23,8.74,588,1.059027778,144.91
ftc01,11/5/23,10.21,523,1.425925926,99.77
ftc01,11/6/23,8.63,511,0.536805556,120.83
ftc01,11/7/23,9.26,482,0.924652778,143.17
ftc01,11/8/23,4.89,561,1.201388889,61.84
ftc01,11/9/23,1.5,343,0.905787037,139.35
ftc01,11/10/23,2,269,0.997685185,143.29
ftc01,11/11/23,5.13,248,1.045138889,138.31
ftc01,11/12/23,6.15,290,1.079861111,139.24
ftc01,11/13/23,3.55,340,0.171875,117.59
ftc01,11/14/23,9.05,325,0.80787037,122.92
ftc01,11/15/23,6.57,338,0.600925926,110.19
ftc01,11/16/23,7.54,539,1.521990741,85.79
ftc01,11/17/23,4.83,625,0.567476852,126.27
ftc01,11/18/23,7.34,534,0.743287037,105.9
ftc01,11/19/23,7.76,542,1.564814815,75.38
ftc01,11/20/23,5.75,471,4.491898148,60.12
ftc01,11/21/23,2.5,387,0.324537037,123.15
ftc01,11/22/23,5.75,366,0.412384259,109.03
ftc01,11/23/23,-0.11,408,1.108796296,12.86
ftc01,11/24/23,-8.59,297,1.106481481,27.11
ftc01,11/25/23,-10.08,264,0.451273148,32.19
ftc01,11/26/23,-5.15,247,0.88587963,122.11
ftc01,11/27/23,-5.64,271,0.655324074,120.25
ftc01,11/28/23,-2.51,286,0.573611111,120.83
ftc01,11/29/23,-0.09,317,0.203356481,103.36
ftc01,11/30/23,-2.86,323,0.286805556,79.48
ftc01,12/1/23,-4.83,366,0.160185185,51.35
ftc01,12/2/23,-1.06,273,2.582175926,99.42
ftc01,12/3/23,2.98,304,4.506944444,105.56
ftc01,12/4/23,3.66,401,2.386574074,72.59
ftc01,12/5/23,2.47,480,0.316550926,109.37
ftc01,12/6/23,5.39,442,0.180208333,108.33
ftc01,12/7/23,7.15,379,2.653935185,102.43
ftc01,12/8/23,1.26,344,1.600694444,39.8
ftc01,12/9/23,-2.06,252,2.133101852,65.79
ftc01,12/10/23,0.2,329,1.155092593,81.47
ftc01,12/11/23,2.98,469,0.690046296,76.44
ftc01,12/12/23,-1.16,526,0.750925926,9.51
ftc01,12/13/23,-1.17,488,0.648958333,24.69
ftc01,12/14/23,-1.15,526,0.388657407,28.03
ftc01,12/15/23,1.01,335,1.439814815,96.3
ftc01,12/16/23,3.18,311,0.816898148,102.66
ftc01,12/17/23,5.48,252,1.297453704,106.25
ftc01,12/18/23,0.74,326,0.381828704,82.73
ftc01,12/19/23,6.11,347,0.720949074,64.13
ftc01,12/20/23,5.2,442,0.613078704,58.92
ftc01,12/21/23,5.42,465,0.601157407,95.14
ftc01,12/22/23,2.9,411,0.576851852,102.2
ftc01,12/23/23,4.99,514,1.297453704,53.33
ftc01,12/24/23,-2.83,295,3.415509259,94.79
ftc01,12/25/23,-4.82,178,2.940972222,92.71
ftc01,12/26/23,2.05,271,9.722222222,50.39
ftc01,12/27/23,2.86,263,3.386574074,81.63
ftc01,12/28/23,-1.82,253,0.414930556,106.71
ftc01,12/29/23,2.08,234,0.960648148,107.18
ftc01,12/30/23,2.22,278,0.566319444,106.02
ftc01,12/31/23,-2.19,345,0.263657407,73.8
